"question","answer"
"것","A thing or an object, The present time, now, at present"
"하다","To do"
"되다","To become"
"수","Way, method, The number of sth"
"나","Me (informal)"
"그","He , his, him , himself, The, that (those)"
"없다","Do not exist, absent"
"않다","To not be, to not do"
"사람","Person"
"우리","We, our, us"
"아니다","To not be"
"보다","To see, To try, More than, greater than ...."
"등","Back (body part), Rank, When used repeatedly, like ""등등"", it means et cetera."
"때","The time, the moment"
"거","Thing"
"같다","same, to be smiliar with"
"주다","To give, to do for a person, Give, cause (Pain, hurt, damage, etc.)"
"대하다","Face, look at, see, To treat (a person or situation) in a certain manner"
"가다","To go, Join, enter, go (to)"
"년","Year"
"이","Two, This, tooth"
"때문","Reason for something (used as a negative. As in blaming something or someone for the situation that happened. )"
"말하다","Speak"
"위하다","To do for the sake of"
"그러나","However or but still"
"오다","Come, turn up, show up, visit, Come (news, letter, contact)"
"알다","To know"
"씨","Mr. Mrs. Ms. (honorific suffix for a person's name)"
"그렇다","That is right or yes."
"크다","To be big, large"
"또","Also, again"
"일","One day, Work"
"사회","Culture, society"
"많다","Many, much"
"안","~ not ~ + VERB, Inside"
"좋다","To be good"
"더","More"
"받다","Receive"
"그것","That thing"
"집","House"
"나오다","Come out"
"따르다","To follow"
"그리고","And or and then"
"문제","Question, problem"
"그런","Such, like, that kind[sort] of"
"살다","To live"
"저","I, my, me, mine, myself, That"
"못하다","Be impossible, can't do, Cannot, be bad at, be weak in"
"생각하다","To think"
"모르다","To not know"
"속","The inside"
"만들다","To make"
"데","Place, point, instance"
"두","Two (counting countable items)"
"앞","In front of, before"
"경우","A case or an instance"
"중","The center, the middle"
"어떤","What kind of, what sort of"
"잘","Well"
"그녀","She (used only in writing)"
"먹다","Eat, chow down on"
"자신","One's own self, one\'s own body"
"문화","Culture"
"원","A unit of south korean money, KRW"
"생각","Thought"
"어떻다","How, what.. do you think of"
"명","Person counter"
"통하다","Run, lead; flow; go through"
"그러다","And so, and then, well"
"소리","A sound, noise"
"다시","Again"
"다른","Different"
"이런","Such, like this"
"여자","Woman, female"
"개","Unit or piece, dog"
"정도","Grade, degree (as in amount of something)"
"뒤","Back, the rear"
"듣다","To listen, to hear"
"다","All, everything"
"좀","A little"
"들다","To enter, Hold, take"
"싶다","Want, hope"
"보이다","See, catch sight of, Show, let see"
"가지다","To have or take or hold, Entertain, hold, have"
"함께","Together, with"
"아이","Child"
"지나다","Pass, elapse, go on"
